Name of restaurant,City,Countty Code,Day of Week,Start Time Hour,Start Time Minute,End Time Hour,End Time Minute
163 Vietnamese Sandwiches & Bubble Tea,Boston,Boston,4,07,30,19,30
163 Vietnamese Sandwiches & Bubble Tea,Boston,Boston,5,07,30,19,30
163 Vietnamese Sandwiches & Bubble Tea,Boston,Boston,6,07,30,19,30
1760,San Francisco,San Francisco,0,17,00,22,00
1760,San Francisco,San Francisco,1,17,00,22,00
1760,San Francisco,San Francisco,2,17,00,22,00
1760,San Francisco,San Francisco,3,17,00,22,00
1760,San Francisco,San Francisco,4,17,00,23,00
1760,San Francisco,San Francisco,5,11,00,14,30
1760,San Francisco,San Francisco,5,17,00,23,00
1760,San Francisco,San Francisco,6,11,00,14,30
1760,San Francisco,San Francisco,6,17,00,22,00
1806,Melbourne,Melbourne,0,17,00,01,00
1806,Melbourne,Melbourne,1,17,00,01,00
1806,Melbourne,Melbourne,2,17,00,01,00
1806,Melbourne,Melbourne,3,17,00,01,00
1806,Melbourne,Melbourne,4,16,00,01,00
1806,Melbourne,Melbourne,5,17,00,03,00
1806,Melbourne,Melbourne,6,18,00,01,00
1907 Restaurant,Perth,Perth,1,11,00,15,00
1907 Restaurant,Perth,Perth,1,18,00,00,00
1907 Restaurant,Perth,Perth,2,11,00,15,00
1907 Restaurant,Perth,Perth,2,18,00,00,00
1907 Restaurant,Perth,Perth,3,11,00,15,00
1907 Restaurant,Perth,Perth,3,18,00,00,00
1907 Restaurant,Perth,Perth,4,11,00,15,00
1907 Restaurant,Perth,Perth,4,18,00,00,00
1907 Restaurant,Perth,Perth,5,11,00,15,00
1907 Restaurant,Perth,Perth,5,18,00,00,00
1912 Dining Bar,Sydney,Sydney,0,16,00,00,00
1912 Dining Bar,Sydney,Sydney,1,16,00,00,00
1912 Dining Bar,Sydney,Sydney,2,16,00,00,00
1912 Dining Bar,Sydney,Sydney,3,16,00,00,00
1912 Dining Bar,Sydney,Sydney,4,16,00,00,00
1912 Dining Bar,Sydney,Sydney,5,16,00,00,00
1917 American Bistro,Detroit,Detroit,0,10,00,23,00
1917 American Bistro,Detroit,Detroit,1,10,00,23,00
1917 American Bistro,Detroit,Detroit,2,10,00,23,00
1917 American Bistro,Detroit,Detroit,3,10,00,23,00
1917 American Bistro,Detroit,Detroit,4,10,00,23,00
1917 American Bistro,Detroit,Detroit,5,10,00,23,00
1917 American Bistro,Detroit,Detroit,6,10,00,20,00
2 Amys Neapolitan Pizzeria,Washington,Washington,0,17,00,22,00
2 Amys Neapolitan Pizzeria,Washington,Washington,1,11,00,22,00
